index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Clr,Recov,home,game_id
9,Joël Matip,32.0,cm CMR,CB,30-363,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,79.0,93.0,84.9,8.0,72.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,8.0,0,1
10,Luis Díaz,23.0,co COL,LW,25-205,77,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,31.0,0.0,0.0,1.0,0.2,0.2,0.0,1.0,0.0,19.0,23.0,82.6,2.0,19.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0,1
11,Mohamed Salah,11.0,eg EGY,RW,30-052,90,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,47.0,0.0,1.0,0.0,0.4,0.4,0.1,2.0,0.0,24.0,34.0,70.6,6.0,31.0,4.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,6.0,9.0,0,1
12,Roberto Firmino,9.0,br BRA,FW,30-308,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,26.0,73.1,3.0,15.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,5.0,8.0,0,1
13,Thiago Alcántara,6.0,es ESP,LM,31-117,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,1.0,2.0,0.0,0.0,0.1,1.0,0.0,47.0,54.0,87.0,9.0,33.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,2.0,6.0,0,1
14,Trent Alexander-Arnold,66.0,eng ENG,RB,23-303,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,49.0,85.0,57.6,6.0,47.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0,1
15,Virgil van Dijk,4.0,nl NED,CB,31-029,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,79.0,96.0,82.3,2.0,54.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,16.0,63.0,0,1
0,16 Players,,,,,990,2.0,1.0,0.0,0.0,23.0,9.0,0.0,0.0,634.0,19.0,11.0,8.0,1.7,1.7,1.7,45.0,4.0,415.0,526.0,78.9,69.0,319.0,27.0,22.0,12.0,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1,2
1,Allan Saint-Maximin,10.0,fr FRA,LW,25-147,89,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,60.0,0.0,1.0,0.0,0.3,0.3,0.0,9.0,1.0,35.0,52.0,67.3,11.0,40.0,11.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1,2
2,Bruno Guimarães,39.0,br BRA,CM,24-263,89,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,85.0,3.0,1.0,0.0,0.0,0.0,0.3,7.0,0.0,64.0,73.0,87.7,10.0,60.0,3.0,8.0,5.0,,,,,,,,,,,,,,,,,,,,,0.0,5.0,1,2
