index,Player,#_x,Nation,Pos_x,Age,Min,Gls,Ast,PK,PKatt,Sh_x,SoT,CrdY_x,CrdR_x,Touches,Tkl_x,Int_x,Blocks_x,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,#_y,Pos_y,Tkl_y,TklW_x,Def 3rd,Mid 3rd,Att 3rd,Tkl_y,Att_y,Tkl%,Lost_x,Blocks_y,Sh_y,Pass,Int_y,Tkl+Int,Clr,Err,#,Pos,CrdY_y,CrdR_y,2CrdY,Fls,Fld,Off,Crs,Int,TklW_y,PKwon,PKcon,OG,Recov,Won,Lost_y,Won%,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
6,Jonjo Shelvey,8.0,eng ENG,CM,26-165,90,0,0,0,0,0,0,0,0,64,1,1,0,0.0,0.0,0.1,5,0,43,59,72.9,6,18,0,2,2,8.0,CM,1,0,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0,8.0,CM,0,0,0,3,1,0,2,1,0,0,0,0,12,2,3,40.0,,,,,,,,,,,,,,,,,,,,,1,1
7,Joselu,21.0,es ESP,FW,28-137,58,1,0,0,0,2,1,1,0,32,1,1,0,0.4,0.4,0.0,1,0,13,24,54.2,1,9,1,1,0,21.0,FW,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,1,0,21.0,FW,1,0,0,1,1,0,0,1,1,0,0,0,4,7,2,77.8,,,,,,,,,,,,,,,,,,,,,1,1
8,Kenedy,15.0,br BRA,LM,22-184,90,0,0,0,0,1,0,0,0,51,1,6,1,0.0,0.0,0.0,3,0,19,32,59.4,3,32,1,9,6,15.0,LM,1,1,1,0,0,0,0,,0,1,0,1,6,7,0,1,15.0,LM,0,0,0,0,5,0,2,6,1,0,0,0,9,1,2,33.3,,,,,,,,,,,,,,,,,,,,,1,1
9,Martin Dúbravka,12.0,sk SVK,GK,29-208,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,27,44,61.4,0,30,0,0,0,12.0,GK,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,12.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,5.0,2.0,3.0,60.0,2.5,6.0,21.0,28.6,39.0,5.0,41.0,35.9,5.0,100.0,60.8,14.0,0.0,0.0,2.0,17.8,1,1
10,Matt Ritchie,11.0,sct SCO,RM,28-335,68,0,1,0,0,2,0,0,0,35,0,1,2,0.1,0.1,0.4,4,1,21,25,84.0,4,17,0,1,1,11.0,RM,0,0,0,0,0,0,0,,0,2,0,2,1,1,2,0,11.0,RM,0,0,0,3,1,0,3,1,0,0,0,0,4,2,0,100.0,,,,,,,,,,,,,,,,,,,,,1,1
11,Mohamed Diamé,10.0,sn SEN,CM,31-058,90,0,0,0,0,1,0,1,0,45,2,2,2,0.1,0.1,0.0,3,0,21,32,65.6,3,15,1,3,1,10.0,CM,2,2,0,2,0,0,1,0.0,1,2,1,1,2,4,2,1,10.0,CM,1,0,0,1,0,0,1,2,2,0,0,0,5,4,3,57.1,,,,,,,,,,,,,,,,,,,,,1,1
12,Paul Dummett,3.0,wls WAL,LB,26-319,90,0,0,0,0,1,0,0,0,60,1,1,1,0.0,0.0,0.0,2,0,33,52,63.5,8,22,0,0,0,3.0,LB,1,0,1,0,0,1,1,100.0,0,1,0,1,1,2,4,0,3.0,LB,0,0,0,0,1,0,1,1,0,0,0,0,4,2,1,66.7,,,,,,,,,,,,,,,,,,,,,1,1
13,Salomón Rondón,9.0,ve VEN,FW,28-329,32,0,0,0,0,2,0,0,0,10,0,0,0,0.2,0.2,0.0,0,0,3,6,50.0,0,6,0,1,0,9.0,FW,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9.0,FW,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,50.0,,,,,,,,,,,,,,,,,,,,,1,1
0,14 Players,,,,,990,2,2,0,0,15,5,2,0,776,27,10,17,2.1,2.1,1.9,23,3,500,621,80.5,42,308,12,9,4,,,27,16,8,18,1,12,27,44.4,15,17,5,12,10,37,43,0,,,2,0,0,12,10,0,17,10,16,0,0,0,52,21,32,39.6,,,,,,,,,,,,,,,,,,,,,0,1
1,Ben Davies,33.0,wls WAL,LB,25-109,90,0,0,0,0,1,0,0,0,86,3,1,1,0.0,0.0,0.4,4,0,60,77,77.9,6,25,2,0,0,33.0,LB,3,1,1,2,0,1,2,50.0,1,1,0,1,1,4,4,0,33.0,LB,0,0,0,3,1,0,3,1,1,0,0,0,6,3,4,42.9,,,,,,,,,,,,,,,,,,,,,0,1
