Rk;Player;Nation;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
53;Dan Burn;eng ENG;Newcastle Utd;33-144;1992;6;6;540;6.0;0;0;0;0;0;0;2;0;0.1;0.1;0.0;0.1;1;17;6;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.02;0.01;0.02;Matches
54;Sam Byram;eng ENG;Leeds United;32-014;1993;1;0;7;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
55;Moisés Caicedo;ec ECU;Chelsea;23-332;2001;6;6;540;6.0;2;0;2;2;0;0;1;0;0.5;0.5;0.1;0.5;5;33;3;0.33;0.00;0.33;0.33;0.33;0.08;0.01;0.09;0.08;0.09;Matches
56;Tom Cairney;sct SCO;Fulham;34-253;1991;3;0;34;0.4;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
57;Riccardo Calafiori;it ITA;Arsenal;23-134;2002;6;6;454;5.0;1;2;3;1;0;0;3;0;01.jul;01.jul;0.5;02.feb;13;21;22;0.20;0.40;0.59;0.20;0.59;0.33;0.10;0.43;0.33;0.43;Matches
58;Dominic Calvert-Lewin;eng ENG;Leeds United;28-198;1997;4;3;269;3.0;1;0;1;1;0;0;0;0;01.feb;01.feb;0.1;01.apr;4;5;10;0.33;0.00;0.33;0.33;0.33;0.41;0.05;0.46;0.41;0.46;Matches
59;Fabio Carvalho;pt POR;Brentford;23-031;2002;2;1;93;1.0;1;0;1;1;0;0;0;0;0.7;0.7;0.0;0.7;2;2;5;0.97;0.00;0.97;0.97;0.97;0.66;0.00;0.66;0.66;0.66;Matches
60;Casemiro;br BRA;Manchester Utd;33-219;1992;5;4;244;02.jul;1;0;1;1;0;0;3;1;1.0;1.0;0.2;01.feb;0;15;4;0.37;0.00;0.37;0.37;0.37;0.36;0.08;0.44;0.36;0.44;Matches
61;Matty Cash;pl POL;Aston Villa;28-054;1997;6;6;524;05.aug;1;0;1;1;0;0;2;0;0.1;0.1;0.4;0.5;10;24;31;0.17;0.00;0.17;0.17;0.17;0.01;0.07;0.08;0.01;0.08;Matches
62;Timothy Castagne;be BEL;Fulham;29-299;1995;4;3;218;02.apr;0;0;0;0;0;0;0;0;0.4;0.4;0.1;0.5;3;6;18;0.00;0.00;0.00;0.00;0.00;0.16;0.04;0.20;0.16;0.20;Matches
63;Trevoh Chalobah;eng ENG;Chelsea;26-087;1999;6;6;481;05.mar;2;0;2;2;0;0;1;1;0.7;0.7;0.0;0.7;8;25;0;0.37;0.00;0.37;0.37;0.37;0.14;0.00;0.14;0.14;0.14;Matches
64;Rayan Cherki;fr FRA;Manchester City;22-044;2003;2;1;71;0.8;1;0;1;1;0;0;0;0;0.1;0.1;0.5;0.5;3;6;3;jan.27;0.00;jan.27;jan.27;jan.27;0.07;0.60;0.67;0.07;0.67;Matches
65;Federico Chiesa;it ITA;Liverpool;27-340;1997;5;0;63;0.7;2;0;2;2;0;0;1;0;0.7;0.7;0.0;0.7;2;2;4;feb.86;0.00;feb.86;feb.86;feb.86;0.94;0.00;0.94;0.94;0.94;Matches
66;Ryan Christie;sct SCO;Bournemouth;30-220;1995;4;1;138;01.mai;0;0;0;0;0;0;0;0;0.2;0.2;0.0;0.2;4;12;5;0.00;0.00;0.00;0.00;0.00;0.10;0.01;0.11;0.10;0.11;Matches
67;Samuel Chukwueze;ng NGA;Fulham;26-131;1999;1;0;10;0.1;0;0;0;0;0;0;0;0;0.2;0.2;0.0;0.2;2;0;3;0.00;0.00;0.00;0.00;0.00;jan.47;0.00;jan.47;jan.47;jan.47;Matches
68;Nathaniel Clyne;eng ENG;Crystal Palace;34-178;1991;1;0;4;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
69;Nathan Collins;ie IRL;Brentford;24-153;2001;6;6;540;6.0;0;0;0;0;0;0;3;0;0.2;0.2;0.5;0.7;2;14;0;0.00;0.00;0.00;0.00;0.00;0.03;0.09;0.12;0.03;0.12;Matches
70;Lewis Cook;eng ENG;Bournemouth;28-239;1997;1;0;3;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
71;Diego Coppola;it ITA;Brighton;21-276;2003;1;0;15;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
72;Marc Cucurella;es ESP;Chelsea;27-070;1998;6;5;448;5.0;0;1;1;0;0;0;2;0;0.2;0.2;0.8;1.0;8;19;18;0.00;0.20;0.20;0.00;0.20;0.05;0.16;0.21;0.05;0.21;Matches
