index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Clr,Recov,xA,xGC,home,game_id
4,Eliezer Mayenda,12.0,es ESP,FW,20-100,75,1,0,0,0,2,1,0,0,10,0,0,0,0.1,0.1,0.3,1,0,1,2,50.0,0,7,0,2,0,,,,,,,,,,,,,,,,,,,,,0,1,0.0,1.2000000000000002,1,2
5,Enzo Le Fée,28.0,fr FRA,LW,25-194,15,0,0,0,0,0,0,0,0,12,0,1,0,0.0,0.0,0.0,0,0,8,9,88.9,0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,1.2000000000000002,1,2
6,Granit Xhaka,34.0,ch SUI,CM,32-323,90,0,0,0,0,0,0,0,0,60,1,1,1,0.0,0.0,0.1,4,1,40,53,75.5,1,33,0,0,0,,,,,,,,,,,,,,,,,,,,,3,2,0.0,1.2000000000000002,1,2
7,Habib Diarra,19.0,sn SEN,RM,21-225,90,0,0,0,0,2,1,0,0,32,1,0,0,0.3,0.3,0.0,3,0,15,23,65.2,3,20,2,1,0,,,,,,,,,,,,,,,,,,,,,1,2,0.0,1.2000000000000002,1,2
8,Jenson Seelt,23.0,nl NED,CB,22-085,52,0,0,0,0,0,0,0,0,35,2,0,3,0.0,0.0,0.0,0,0,23,28,82.1,6,20,0,0,0,,,,,,,,,,,,,,,,,,,,,4,3,0.0,1.2000000000000002,1,2
9,Noah Sadiki,27.0,cd COD,LM,20-242,90,0,0,0,0,0,0,0,0,40,2,3,2,0.0,0.0,0.0,0,0,23,29,79.3,2,21,1,1,0,,,,,,,,,,,,,,,,,,,,,5,3,0.0,1.2000000000000002,1,2
10,Omar Alderete,15.0,py PAR,CB,28-233,38,0,1,0,0,0,0,0,0,21,1,1,0,0.0,0.0,0.0,1,1,15,16,93.8,0,13,1,0,0,,,,,,,,,,,,,,,,,,,,,3,4,0.0,1.2000000000000002,1,2
11,Reinildo Mandava,17.0,mz MOZ,LB,31-207,90,0,0,0,0,0,0,0,0,59,2,2,1,0.0,0.0,0.0,1,1,38,51,74.5,4,31,2,0,0,,,,,,,,,,,,,,,,,,,,,3,1,0.1,1.2000000000000002,1,2
12,Robin Roefs,22.0,nl NED,GK,22-211,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,13,26,50.0,0,18,0,0,0,3.0,0.0,3.0,100.0,0.4,3.0,15.0,20.0,23.0,3.0,52.2,41.2,3.0,100.0,64.3,18.0,2.0,11.1,0.0,6.8,9,4,0.0,1.2000000000000002,1,2
13,Simon Adingra,24.0,ci CIV,LW,23-227,75,0,0,0,0,1,0,0,0,31,1,0,1,0.1,0.1,0.0,3,1,14,21,66.7,1,19,1,2,0,,,,,,,,,,,,,,,,,,,,,3,3,0.1,1.2000000000000002,1,2
14,Trai Hume,32.0,nir NIR,RB,23-151,90,0,0,0,0,0,0,0,0,58,2,1,0,0.0,0.0,0.1,2,0,32,51,62.7,3,19,1,1,1,,,,,,,,,,,,,,,,,,,,,0,3,0.0,1.2000000000000002,1,2
15,Wilson Isidor,18.0,fr FRA,FW,24-354,15,1,0,0,0,1,1,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,34,31,0.3,1.2000000000000002,1,2
0,14 Players,,,,,990,0,0,0,0,12,3,1,0,706,12,4,10,0.6,0.6,0.4,23,0,496,600,82.7,50,328,10,18,7,,,,,,,,,,,,,,,,,,,,,0,0,0.1,1.5,0,2
1,Aaron Wan-Bissaka,29.0,eng ENG,"WB,RB",27-263,90,0,0,0,0,0,0,0,0,93,1,1,2,0.0,0.0,0.0,2,0,70,85,82.4,5,53,4,5,3,,,,,,,,,,,,,,,,,,,,,0,6,0.1,1.5,0,2
2,Andy Irving,39.0,sct SCO,AM,25-095,9,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,1,0,7,12,58.3,2,3,0,0,0,,,,,,,,,,,,,,,,,,,,,0,5,0.1,1.5,0,2
3,Callum Wilson,9.0,eng ENG,FW,33-170,20,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,0,1,0.0,0,4,0,1,0,,,,,,,,,,,,,,,,,,,,,1,4,0.0,1.5,0,2
