index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%,home,game_id
4,Gerard Deulofeu,7.0,es ESP,FW,22-153,67,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,1,2
5,Idrissa Gana Gueye,17.0,sn SEN,CM,26-322,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,,,,,1,2
6,James McCarthy,16.0,ie IRL,RM,25-275,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,,,,,1,2
7,Kevin Mirallas,11.0,be BEL,FW,28-313,75,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,,,,,1,2
8,Leighton Baines,3.0,eng ENG,LM,31-246,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1,2
9,Maarten Stekelenburg,22.0,nl NED,GK,33-326,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,75.0,1,2
10,Mason Holgate,30.0,jm JAM,CB,19-296,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,,,,,1,2
11,Phil Jagielka,6.0,eng ENG,CB,33-362,90,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,1,2
12,Ramiro Funes Mori,25.0,ar ARG,CB,25-161,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,,1,2
13,Ross Barkley,8.0,eng ENG,FW,22-252,90,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,,,,,1,2
14,Tom Cleverley,15.0,eng ENG,MF,27-001,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,1,2
0,13 Players,,,,,990,1.0,1.0,0.0,0.0,13.0,4.0,0.0,0.0,14.0,10.0,0.0,21.0,13.0,15.0,0.0,0.0,0.0,,,,,0,2
1,Christian Eriksen,23.0,dk DEN,AM,24-181,90,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,,,,,0,2
2,Danny Rose,3.0,eng ENG,LB,26-042,90,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,,,,,0,2
3,Dele Alli,20.0,eng ENG,AM,20-124,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0,2
4,Eric Dier,15.0,eng ENG,DM,22-211,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,,,,,0,2
5,Harry Kane,10.0,eng ENG,FW,23-016,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,0,2
6,Hugo Lloris,1.0,fr FRA,GK,29-231,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,75.0,0,2
7,Jan Vertonghen,5.0,be BEL,CB,29-111,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,0,2
8,Kyle Walker,2.0,eng ENG,RB,26-077,90,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,,,,,0,2
9,Michel Vorm,13.0,nl NED,GK,32-298,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,100.0,0,2
10,Toby Alderweireld,4.0,be BEL,CB,27-164,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,,,,,0,2
11,Victor Wanyama,12.0,ke KEN,DM,25-049,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,,,,,0,2
12,Vincent Janssen,9.0,nl NED,FW,22-059,35,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,0,2
13,Érik Lamela,11.0,ar ARG,AM,24-162,90,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,,,,,0,2
0,14 Players,,,,,990,0.0,0.0,0.0,0.0,14.0,4.0,2.0,0.0,12.0,14.0,0.0,25.0,22.0,17.0,0.0,0.0,0.0,,,,,1,3
1,Andros Townsend,10.0,eng ENG,AM,25-028,90,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,2.0,0.0,9.0,5.0,3.0,0.0,0.0,0.0,,,,,1,3
2,Connor Wickham,21.0,eng ENG,FW,23-135,90,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,3
3,Damien Delaney,27.0,ie IRL,CB,35-024,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,1,3
4,Jason Puncheon,42.0,eng ENG,DM,30-056,76,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,,,,,1,3
5,Joel Ward,2.0,eng ENG,RB,26-289,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,1,3
6,Lee Chung-yong,14.0,kr KOR,AM,28-042,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,,,,,1,3
7,Martin Kelly,34.0,eng ENG,"DF,MF",26-108,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,3
8,Mile Jedinak,15.0,au AUS,DM,32-010,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,,,,,1,3
9,Pape Souaré,23.0,sn SEN,LB,26-068,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,,,,,1,3
10,Scott Dann,6.0,eng ENG,CB,29-181,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,1,3
11,Wayne Hennessey,13.0,wls WAL,GK,29-202,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,66.7,1,3
